timestamp,frame,hand_index,handedness,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_MCP_x,INDEX_MCP_y,INDEX_MCP_z,INDEX_PIP_x,INDEX_PIP_y,INDEX_PIP_z,INDEX_DIP_x,INDEX_DIP_y,INDEX_DIP_z,INDEX_TIP_x,INDEX_TIP_y,INDEX_TIP_z,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_MCP_z,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_PIP_z,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_DIP_z,MIDDLE_TIP_x,MIDDLE_TIP_y,MIDDLE_TIP_z,RING_MCP_x,RING_MCP_y,RING_MCP_z,RING_PIP_x,RING_PIP_y,RING_PIP_z,RING_DIP_x,RING_DIP_y,RING_DIP_z,RING_TIP_x,RING_TIP_y,RING_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1781654949.237763,27,0,Left,0.708255,0.624773,0.0,0.653831,0.611729,-0.023986,0.606531,0.559361,-0.036099,0.571909,0.506723,-0.046405,0.536841,0.475819,-0.056515,0.622139,0.405037,-0.015625,0.592045,0.31847,-0.030308,0.573414,0.265499,-0.044205,0.558361,0.214043,-0.055694,0.652811,0.376464,-0.018217,0.633095,0.272081,-0.02976,0.620622,0.205758,-0.04232,0.609648,0.148405,-0.052956,0.684036,0.375104,-0.024692,0.674267,0.277316,-0.038348,0.66691,0.213798,-0.048508,0.658162,0.156136,-0.057011,0.715261,0.392518,-0.033772,0.715471,0.317929,-0.046789,0.714526,0.267384,-0.052557,0.711825,0.217914,-0.057431
1781654949.33674,28,0,Left,0.709198,0.623626,0.0,0.655346,0.610428,-0.023048,0.607861,0.559221,-0.03523,0.572683,0.508795,-0.045808,0.537143,0.478866,-0.056266,0.62328,0.404155,-0.01528,0.593356,0.318731,-0.030095,0.575088,0.266564,-0.044084,0.560102,0.216309,-0.055578,0.65397,0.37557,-0.018423,0.634164,0.271824,-0.030245,0.621249,0.206912,-0.042932,0.60939,0.150814,-0.053544,0.68539,0.374114,-0.025327,0.675151,0.276203,-0.039197,0.667739,0.212921,-0.049392,0.658677,0.155402,-0.057831,0.716819,0.391697,-0.03471,0.716658,0.31722,-0.047746,0.715441,0.266816,-0.053392,0.712052,0.217711,-0.058134
1781654949.4374204,29,0,Left,0.708734,0.62134,0.0,0.655267,0.607841,-0.023346,0.607644,0.557233,-0.035651,0.572248,0.508736,-0.046279,0.537682,0.477005,-0.05671,0.622778,0.402846,-0.015391,0.593524,0.318273,-0.030336,0.575058,0.26705,-0.044562,0.559763,0.217612,-0.056225,0.653008,0.373868,-0.018258,0.632594,0.270968,-0.030192,0.619163,0.206174,-0.043045,0.606868,0.149725,-0.053786,0.684452,0.372179,-0.024912,0.674596,0.273331,-0.038879,0.667592,0.209875,-0.049208,0.658816,0.152232,-0.057715,0.71603,0.389709,-0.034054,0.716678,0.31515,-0.047223,0.715863,0.264598,-0.053017,0.712998,0.21525,-0.057812
1781654949.5363183,30,0,Left,0.707066,0.622424,0.0,0.653282,0.608588,-0.02262,0.605393,0.556645,-0.033953,0.569808,0.50872,-0.043707,0.534962,0.481913,-0.053407,0.621579,0.402923,-0.01406,0.592927,0.318822,-0.028335,0.574798,0.267404,-0.042077,0.559743,0.218128,-0.053463,0.652222,0.374345,-0.01714,0.632502,0.271478,-0.028688,0.619268,0.206834,-0.041273,0.607233,0.151089,-0.051739,0.683767,0.373241,-0.023985,0.674884,0.275148,-0.037989,0.66807,0.212003,-0.048443,0.659448,0.154554,-0.056903,0.715221,0.391475,-0.033217,0.716635,0.317173,-0.046523,0.716226,0.266854,-0.052335,0.713575,0.217457,-0.057102
1781654949.6355872,31,0,Left,0.70531,0.62661,0.0,0.653122,0.613897,-0.022692,0.604582,0.564053,-0.034877,0.567099,0.518156,-0.045432,0.531155,0.494284,-0.056126,0.618577,0.4107,-0.016189,0.588132,0.325394,-0.031175,0.569579,0.272744,-0.045261,0.554783,0.222155,-0.056762,0.64863,0.380879,-0.019157,0.628179,0.276376,-0.031303,0.614937,0.210701,-0.044051,0.603126,0.153203,-0.054571,0.679747,0.378487,-0.025689,0.669761,0.279416,-0.039537,0.662724,0.21458,-0.049995,0.654178,0.155815,-0.058586,0.710734,0.395012,-0.034599,0.711578,0.320861,-0.047423,0.711116,0.270196,-0.053112,0.708729,0.220676,-0.057874
1781654949.735419,32,0,Left,0.705605,0.628353,0.0,0.651757,0.615735,-0.023874,0.602873,0.568045,-0.037042,0.565028,0.524229,-0.0485,0.529422,0.497533,-0.059905,0.617379,0.413461,-0.017672,0.586003,0.328558,-0.033809,0.566348,0.276682,-0.048517,0.550456,0.227322,-0.060334,0.647047,0.384394,-0.020615,0.624911,0.280619,-0.034165,0.610345,0.215122,-0.047545,0.59748,0.15808,-0.058316,0.678209,0.382348,-0.027315,0.666915,0.28279,-0.042683,0.659363,0.218115,-0.053677,0.650641,0.15942,-0.062344,0.709812,0.399238,-0.036451,0.710583,0.324319,-0.050642,0.709778,0.272796,-0.057024,0.70707,0.222336,-0.06208
1781654949.835086,33,0,Left,0.705429,0.623488,0.0,0.651926,0.612992,-0.02505,0.604175,0.566205,-0.039005,0.567643,0.519598,-0.05096,0.531115,0.492025,-0.062813,0.616985,0.410247,-0.019567,0.584901,0.32522,-0.035605,0.564781,0.273522,-0.050262,0.548338,0.223106,-0.062216,0.647071,0.380659,-0.022165,0.625064,0.276885,-0.035086,0.611019,0.211338,-0.048445,0.598702,0.153138,-0.059623,0.678636,0.378653,-0.028458,0.667803,0.27975,-0.043278,0.660394,0.216361,-0.054051,0.651525,0.15759,-0.062951,0.710504,0.395913,-0.037303,0.710583,0.321233,-0.051244,0.70985,0.270522,-0.057341,0.707188,0.219908,-0.062424
1781654949.9344149,34,0,Left,0.704129,0.618849,0.0,0.651331,0.605995,-0.024445,0.603927,0.559187,-0.038503,0.567155,0.513224,-0.050652,0.530791,0.48581,-0.062688,0.616202,0.40505,-0.019166,0.585383,0.319532,-0.034976,0.565814,0.267909,-0.0495,0.549712,0.217343,-0.061429,0.646296,0.375696,-0.021993,0.625068,0.27277,-0.034746,0.611417,0.207049,-0.048057,0.599099,0.148175,-0.059321,0.677779,0.37379,-0.028431,0.667782,0.27496,-0.043087,0.660723,0.211114,-0.053816,0.651956,0.152238,-0.062762,0.709168,0.391,-0.037335,0.709591,0.316429,-0.051162,0.70914,0.265486,-0.057227,0.706811,0.214919,-0.062323
1781654950.033733,35,0,Left,0.700864,0.613049,0.0,0.64886,0.600613,-0.02298,0.60107,0.552882,-0.035911,0.564386,0.508545,-0.047017,0.529068,0.484315,-0.058255,0.613727,0.401273,-0.019197,0.582927,0.317831,-0.03483,0.563147,0.267507,-0.048969,0.546644,0.21873,-0.060556,0.643718,0.372859,-0.022366,0.622473,0.269995,-0.03523,0.608603,0.205189,-0.04831,0.595879,0.147393,-0.059221,0.675244,0.37176,-0.028885,0.665381,0.273099,-0.043882,0.658324,0.208438,-0.054856,0.649584,0.148659,-0.063746,0.706616,0.389505,-0.037616,0.707407,0.314419,-0.051639,0.707036,0.262951,-0.0578,0.70471,0.211757,-0.062874
1781654950.1346114,36,0,Left,0.699553,0.604915,0.0,0.648157,0.592532,-0.023459,0.601544,0.546986,-0.037506,0.566286,0.503381,-0.049731,0.530444,0.477313,-0.062173,0.612716,0.397343,-0.021527,0.581188,0.315078,-0.038388,0.56152,0.2647,-0.053005,0.545558,0.215567,-0.064817,0.643223,0.368933,-0.025142,0.62224,0.266293,-0.039376,0.608575,0.201468,-0.053282,0.596013,0.143045,-0.06474,0.675128,0.368398,-0.032064,0.665755,0.269674,-0.048411,0.658461,0.205787,-0.059883,0.649436,0.146136,-0.069044,0.706825,0.387308,-0.041141,0.70843,0.312867,-0.056311,0.708262,0.261249,-0.062906,0.705644,0.209716,-0.068241
