timestamp,frame,hand_index,handedness,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_MCP_x,INDEX_MCP_y,INDEX_MCP_z,INDEX_PIP_x,INDEX_PIP_y,INDEX_PIP_z,INDEX_DIP_x,INDEX_DIP_y,INDEX_DIP_z,INDEX_TIP_x,INDEX_TIP_y,INDEX_TIP_z,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_MCP_z,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_PIP_z,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_DIP_z,MIDDLE_TIP_x,MIDDLE_TIP_y,MIDDLE_TIP_z,RING_MCP_x,RING_MCP_y,RING_MCP_z,RING_PIP_x,RING_PIP_y,RING_PIP_z,RING_DIP_x,RING_DIP_y,RING_DIP_z,RING_TIP_x,RING_TIP_y,RING_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1781673676.5055013,170,0,Left,0.779973,0.686721,1e-06,0.692368,0.683436,-0.028116,0.607448,0.652193,-0.046806,0.540072,0.637687,-0.064187,0.485134,0.638003,-0.082897,0.619752,0.461559,-0.0301,0.557588,0.373338,-0.052822,0.518817,0.319731,-0.072782,0.487179,0.273848,-0.088181,0.664402,0.420124,-0.037304,0.621871,0.297951,-0.055267,0.59413,0.22529,-0.07326,0.570936,0.166496,-0.087555,0.71511,0.408778,-0.048632,0.701076,0.282724,-0.071319,0.688898,0.209099,-0.089456,0.675477,0.14721,-0.10286,0.767115,0.423713,-0.062227,0.780706,0.325993,-0.084088,0.787083,0.264736,-0.093199,0.789391,0.20988,-0.099329
1781673676.5388575,171,0,Left,0.773221,0.665055,1e-06,0.685701,0.665209,-0.030796,0.600562,0.640156,-0.051466,0.532671,0.628012,-0.070143,0.477411,0.627995,-0.089835,0.607136,0.44614,-0.033642,0.543049,0.360833,-0.057565,0.503791,0.308336,-0.078331,0.472023,0.262626,-0.094324,0.650398,0.402704,-0.039988,0.605486,0.283318,-0.059033,0.577083,0.212297,-0.077308,0.553723,0.154208,-0.09181,0.700777,0.390659,-0.050655,0.683428,0.265997,-0.074511,0.670351,0.192777,-0.093133,0.656773,0.130575,-0.106877,0.753392,0.405663,-0.063756,0.765115,0.307591,-0.087136,0.770962,0.246261,-0.097132,0.772869,0.190708,-0.103764
1781673676.5720735,172,0,Left,0.762735,0.648684,1e-06,0.67522,0.651507,-0.03148,0.589069,0.627921,-0.051035,0.520199,0.617432,-0.068523,0.465657,0.621913,-0.087062,0.595271,0.431965,-0.03159,0.530855,0.348426,-0.054378,0.490981,0.296689,-0.074538,0.458942,0.251027,-0.090405,0.637619,0.388555,-0.037209,0.591716,0.27164,-0.055626,0.562388,0.201039,-0.07372,0.538893,0.142159,-0.088231,0.687292,0.375506,-0.047427,0.668303,0.252611,-0.071397,0.653875,0.179333,-0.090769,0.639453,0.116465,-0.104992,0.739512,0.387829,-0.060212,0.750025,0.290332,-0.084163,0.755361,0.228933,-0.095305,0.757219,0.173073,-0.102859
1781673676.6054158,173,0,Left,0.754219,0.634683,1e-06,0.665738,0.638676,-0.028506,0.579254,0.615419,-0.04524,0.511894,0.604684,-0.060372,0.459111,0.61067,-0.076632,0.583521,0.416902,-0.026394,0.518893,0.33384,-0.046379,0.479509,0.282493,-0.06489,0.447773,0.238102,-0.079761,0.625822,0.37342,-0.032464,0.5793,0.256694,-0.048189,0.550067,0.186682,-0.065219,0.526858,0.129374,-0.079113,0.675393,0.35993,-0.043019,0.655717,0.237886,-0.064945,0.640508,0.164948,-0.084862,0.62545,0.102821,-0.099758,0.727499,0.371952,-0.055907,0.738675,0.274824,-0.079026,0.743916,0.213023,-0.090927,0.745894,0.156462,-0.099131
1781673676.6383393,174,0,Left,0.746652,0.620953,1e-06,0.659254,0.626066,-0.027848,0.569925,0.603478,-0.042915,0.501626,0.594498,-0.056256,0.448447,0.60075,-0.070725,0.5734,0.405971,-0.025519,0.507737,0.322987,-0.044747,0.468806,0.271786,-0.062305,0.437891,0.227496,-0.076491,0.615188,0.361507,-0.03111,0.567767,0.247581,-0.045832,0.538637,0.179152,-0.062073,0.515586,0.122977,-0.07561,0.664565,0.346534,-0.04121,0.644407,0.226337,-0.062426,0.629134,0.154041,-0.082198,0.613866,0.092847,-0.097192,0.716705,0.356639,-0.053573,0.727103,0.261124,-0.076341,0.732168,0.199796,-0.088667,0.733942,0.144064,-0.09738
1781673676.6721587,175,0,Left,0.735791,0.609719,1e-06,0.648436,0.616084,-0.028658,0.558135,0.594863,-0.043635,0.489111,0.588681,-0.056806,0.435271,0.596161,-0.071012,0.564352,0.395576,-0.025159,0.498355,0.314297,-0.043703,0.459429,0.264293,-0.060876,0.42881,0.221002,-0.074866,0.605799,0.351478,-0.030035,0.557722,0.238522,-0.044083,0.528907,0.170762,-0.060001,0.506664,0.1147,-0.073368,0.654718,0.335981,-0.039565,0.633027,0.21638,-0.060536,0.61811,0.144555,-0.080392,0.60332,0.083532,-0.09543,0.706569,0.344985,-0.051452,0.71669,0.24992,-0.074525,0.722211,0.189088,-0.087229,0.724332,0.134074,-0.096138
1781673676.705515,176,0,Left,0.72925,0.601623,1e-06,0.643171,0.609473,-0.027519,0.55094,0.588426,-0.041631,0.480654,0.582769,-0.054256,0.426328,0.591805,-0.067934,0.556644,0.389546,-0.022662,0.490757,0.309189,-0.040172,0.452133,0.259485,-0.05701,0.421726,0.216004,-0.071068,0.597172,0.343902,-0.027939,0.549551,0.231546,-0.040467,0.520512,0.163496,-0.055793,0.497929,0.108149,-0.069138,0.645738,0.327187,-0.03789,0.622956,0.208826,-0.056771,0.608107,0.138272,-0.075904,0.593076,0.078909,-0.091003,0.697546,0.335309,-0.050318,0.70704,0.241742,-0.071473,0.71196,0.181185,-0.083788,0.713724,0.126776,-0.092903
1781673676.739316,177,0,Left,0.723792,0.600263,1e-06,0.635931,0.606571,-0.027411,0.544569,0.584388,-0.040744,0.475738,0.577332,-0.052649,0.422305,0.584003,-0.065447,0.5496,0.38417,-0.020585,0.482713,0.303921,-0.037343,0.44371,0.254082,-0.053684,0.413105,0.211187,-0.067213,0.591068,0.338296,-0.025525,0.543527,0.22701,-0.037403,0.514628,0.159089,-0.052496,0.491941,0.104353,-0.0655,0.639827,0.321232,-0.035344,0.617673,0.203939,-0.054011,0.603355,0.13222,-0.073643,0.589098,0.072503,-0.088778,0.691262,0.328651,-0.04764,0.701369,0.234447,-0.068668,0.706668,0.173325,-0.081411,0.709233,0.118888,-0.09062
1781673676.773175,178,0,Left,0.717089,0.597241,1e-06,0.629767,0.603311,-0.027253,0.538871,0.579917,-0.040971,0.470275,0.571615,-0.053422,0.416159,0.578222,-0.066885,0.544075,0.380086,-0.020303,0.478299,0.30002,-0.037226,0.439533,0.250397,-0.053834,0.408907,0.207667,-0.067606,0.585542,0.334737,-0.025751,0.537885,0.223394,-0.037782,0.508643,0.155495,-0.053226,0.485542,0.100845,-0.066508,0.634637,0.318202,-0.036059,0.612698,0.200416,-0.055209,0.597865,0.128328,-0.075406,0.582765,0.06839,-0.090971,0.686324,0.32631,-0.048761,0.69699,0.233135,-0.070235,0.702743,0.171935,-0.083193,0.70574,0.117228,-0.092604
1781673676.8050613,179,0,Left,0.71435,0.599707,1e-06,0.626404,0.60505,-0.029442,0.536329,0.579063,-0.04393,0.46707,0.567932,-0.056882,0.410716,0.572398,-0.070663,0.541601,0.379341,-0.02063,0.475627,0.298359,-0.038238,0.436953,0.247286,-0.055511,0.406894,0.202952,-0.069692,0.583512,0.333679,-0.025346,0.535559,0.221616,-0.038093,0.506935,0.152097,-0.054257,0.484597,0.09572,-0.067857,0.63313,0.317542,-0.035239,0.61196,0.200339,-0.055357,0.59876,0.126569,-0.076232,0.585184,0.064434,-0.091971,0.685328,0.326099,-0.047727,0.695351,0.23236,-0.069999,0.701765,0.170963,-0.083331,0.705356,0.11553,-0.092829
